"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Alaa Abdelnaby",134,57,14.8,3.3,5.6,0.599,3.3,5.6,0.599,0,0,NA,1.8,2.5,0.728,NA,NA,3.7,0.4,0.4,0.5,1,2.1,8.5,8.14,0
"Kareem Abdul-Jabbar",88,NA,NA,10.7,16.8,0.639,NA,NA,NA,NA,NA,NA,5,7.9,0.628,NA,NA,15.5,NA,NA,NA,NA,2.2,26.4,5.22,1
"Mahmoud Abdul-Rauf",64,32,37.2,10.4,21.9,0.474,7.7,14.7,0.524,2.7,7.2,0.372,5.5,6.4,0.863,NA,NA,3,3.6,1.7,0.1,3.6,2.1,29,7.04,0
"Shareef Abdur-Rahim",28,28,34.7,7.4,14.2,0.518,7.1,13.5,0.525,0.3,0.8,0.381,6.1,8.9,0.683,NA,NA,8.4,1,1.9,1.3,3.1,2.1,21.1,6.44,1
"Tom Abernethy",110,NA,18.5,2.4,4.5,0.533,NA,NA,NA,NA,NA,NA,1.1,1.7,0.689,NA,NA,3.7,1.1,NA,NA,0.8,1.3,5.9,7.55,0
"Alex Acker",88,80,34.4,5.1,11.2,0.457,3.7,7.9,0.476,1.4,3.3,0.411,2.9,3.5,0.823,1.5,4.1,5.6,2.8,1.5,0.4,2.6,1.9,14.5,1.8,0
"Mark Acres",110,88,33.3,7.3,12.9,0.564,NA,NA,NA,NA,NA,NA,4,5.7,0.696,NA,NA,9.6,2,1.4,1.5,2.6,3.6,18.5,0.82,0
"Quincy Acy",139,66,25.1,3.6,6,0.602,3.6,6,0.604,0,0.1,0.429,2.5,3.6,0.708,2.2,3.8,6,0.6,0.7,1.3,1.5,2.6,9.8,7.2,0
"Alvan Adams",73,NA,NA,9.7,18,0.539,NA,NA,NA,NA,NA,NA,3.9,5.6,0.702,NA,NA,12.8,NA,NA,NA,NA,3.2,23.4,2.63,1
"Hassan Adams",130,100,27.8,5.8,11.6,0.499,5.2,9.7,0.535,0.6,1.9,0.311,1.9,2.7,0.704,2.5,3,5.4,2,1.8,0.7,2,2,14,8.42,0
"Jordan Adams",69,63,30.2,5.4,11.6,0.467,4,7.3,0.548,1.4,4.3,0.331,4.2,5,0.839,1.3,3.3,4.6,2.1,2.4,0.2,1.4,2.1,16.4,7.69,0
"Michael Adams",119,93,29.6,5.3,11.3,0.47,NA,NA,NA,NA,NA,NA,3.2,4.3,0.75,NA,NA,2.7,4,2.3,0.1,2.8,2,13.9,5.31,1
"Steven Adams",32,32,23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,NA,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,5.66,0
"Rafael Addison",126,96,30.1,6.2,11.6,0.534,NA,NA,NA,NA,NA,NA,2.5,3.3,0.763,NA,NA,5.2,2.5,1.2,0.5,2,2.6,14.9,6.06,0
"Jeff Adrien",133,101,29.5,4.5,8.8,0.515,4.5,8.7,0.516,0,0,0.333,3,4.9,0.606,2.9,5.6,8.5,1.1,0.6,1.1,1.9,1.8,12.1,7,0
"Arron Afflalo",104,103,32.7,5,10.9,0.457,3,5.5,0.539,2,5.4,0.373,2.8,3.6,0.781,0.6,2.8,3.5,1.9,0.6,0.2,2,2.1,14.8,8.4,0
"Maurice Ager",124,73,25.6,4.2,9.6,0.441,2.6,5.3,0.492,1.6,4.3,0.38,2.5,3.2,0.775,0.8,2.6,3.4,1.5,0.5,0.3,1.7,1.9,12.5,8.2,0
"Mark Aguirre",89,NA,37.3,9.7,17.8,0.546,NA,NA,NA,NA,NA,NA,5.1,6.7,0.768,NA,NA,7.9,3.3,1.5,0.5,3.4,2.8,24.5,3.23,1
